seed,sensor,arm,condition,cwv,miou,OA,AA,kappa,train_miou,zshift_median,zshift_max,zshift_median_measuring,zshift_max_measuring,zshift_max_band,z_abs_max,n_bands_used,n_degenerate_scaler_cols,n_classes_test,n_test_px,split_sha16
4,sentinel2,uncorrected,cwv0.5,0.5,5.211659989184056,16.370521409845615,15.53102882072035,8.579998807179221,72.49974130916266,0.1140326885001089,3.630493135540744,0.1140326885001089,3.630493135540744,8,5.016221547038821,11,0,16,3433,02050e564bfe03b1
0,sentinel2,uncorrected,cwv2,2.0,7.84458905669798,16.782582400967645,19.01933981768854,9.583255136897327,82.37160614144781,0.1270689532581502,5.625614996585446,0.1270689532581502,5.625614996585446,8,6.326834600809891,11,0,15,3307,200212adf5406e17
1,sentinel2,uncorrected,cwv2,2.0,2.710138240431726,15.308270676691729,10.39308176100629,5.104456346701972,82.3392861399294,0.12645687855360097,5.595320604875895,0.12645687855360097,5.595320604875895,8,6.299297698540002,11,0,15,3325,df19862980d58f94
2,sentinel2,uncorrected,cwv2,2.0,2.588621084097064,13.416444048679132,11.797330139435402,5.529101546353101,81.73100878042408,0.12684549050545466,5.578802174127551,0.12684549050545466,5.578802174127551,8,6.27839232041123,11,0,15,3369,3b1a159ad79e5b9d
3,sentinel2,uncorrected,cwv2,2.0,1.559197509310987,10.302318755503375,8.028409090909092,1.8781215599051608,75.80118167524334,0.12773532939455218,5.536776369530547,0.12773532939455218,5.536776369530547,8,6.225274829042966,11,0,16,3407,56f4295fa4b88c6f
4,sentinel2,uncorrected,cwv2,2.0,2.0257484396591057,14.914069327119137,12.366915022597569,7.514108124953712,72.49974130916266,0.12820067809852576,5.459482002183612,0.12820067809852576,5.459482002183612,8,6.142032601591674,11,0,16,3433,02050e564bfe03b1
0,sentinel2,uncorrected,cwv4,4.0,6.139319508451675,15.33111581493801,16.91815667996681,7.945592898739555,82.37160614144781,0.18984800799657323,6.399732770616262,0.18984800799657323,6.399732770616262,8,6.804482040611383,11,0,15,3307,200212adf5406e17
1,sentinel2,uncorrected,cwv4,4.0,2.209206003518683,14.406015037593987,9.682768460284183,4.183923287601328,82.3392861399294,0.18911441231523607,6.365219485074999,0.18911441231523607,6.365219485074999,8,6.775235027966717,11,0,15,3325,df19862980d58f94
2,sentinel2,uncorrected,cwv4,4.0,2.4171766228473803,12.852478480261206,11.208015944858051,4.886313218914149,81.73100878042408,0.18958407689626497,6.346375206307476,0.18958407689626497,6.346375206307476,8,6.753760868407254,11,0,15,3369,3b1a159ad79e5b9d
3,sentinel2,uncorrected,cwv4,4.0,1.1392504161428465,9.685940710302319,7.2102272727272725,1.2160781064102966,75.80118167524334,0.19061243933110025,6.298536847461271,0.19061243933110025,6.298536847461271,8,6.694624994462336,11,0,16,3407,56f4295fa4b88c6f
4,sentinel2,uncorrected,cwv4,4.0,2.0561772633739026,14.972327410428196,12.40830575107439,7.554557138729506,72.49974130916266,0.19166468285891897,6.210584975225737,0.19166468285891897,6.210584975225737,8,6.604785913333799,11,0,16,3433,02050e564bfe03b1
