arm,model_seed,split_seed,joint,coverage,selective,pixel_acc,component_acc
L2A_src,1,9,27.332125603864732,94.7010265700483,28.861488194795598,69.79010695187165,69.53073671497584
L2A_src,2,0,31.45567632850242,95.54251207729469,32.92322511161787,66.21575342465754,65.90410628019325
L2A_src,2,1,28.803623188405798,93.88442028985506,30.679875424994506,67.47669491525424,67.51865942028986
L2A_src,2,2,29.3923309178744,94.380615942029,31.142338524181625,67.10967302452316,67.21068840579711
L2A_src,2,3,30.035326086956527,94.19384057971016,31.886719876911247,66.19562146892656,66.34619565217392
L2A_src,2,4,29.800483091787445,94.32367149758456,31.593854033290654,66.81666666666666,66.6975845410628
L2A_src,2,5,28.837137681159426,94.16394927536231,30.62439277778313,67.30906593406594,67.62010869565216
L2A_src,2,6,29.74257246376812,94.34239130434783,31.526201586112872,66.69150417827298,66.86213768115944
L2A_src,2,7,28.278864734299525,94.13937198067632,30.039359876018967,67.94667590027701,68.18321256038648
L2A_src,2,8,29.076086956521742,93.7108695652174,31.0274433386689,67.1108108108108,67.19492753623187
L2A_src,2,9,29.718176328502423,94.14873188405798,31.565137133338855,66.98529411764706,66.72747584541064
L2A_src,3,0,29.176328502415462,92.84480676328502,31.424836261227572,66.83287671232877,66.53538647342995
L2A_src,3,1,26.39130434782609,91.9123188405797,28.713566016761412,68.795197740113,68.79148550724638
L2A_src,3,2,27.253140096618356,91.78961352657005,29.690875742416623,68.13896457765668,67.99112318840578
L2A_src,3,3,28.34239130434783,92.92626811594202,30.499870358492892,67.55084745762711,67.6552536231884
L2A_src,3,4,27.72125603864734,93.26195652173914,29.72407728995647,68.472,68.38937198067633
L2A_src,3,5,26.86920289855072,92.60905797101451,29.01357975907762,68.72733516483517,68.83931159420288
L2A_src,3,6,27.800724637681164,93.31503623188404,29.79233118293766,67.92061281337047,68.0784420289855
L2A_src,3,7,26.33345410628019,91.75772946859904,28.69889464221313,68.63157894736842,68.92095410628019
L2A_src,3,8,27.280797101449277,92.38586956521738,29.529187991450485,68.20472972972973,68.21666666666667
L2A_src,3,9,26.980434782608693,92.10585748792269,29.29285445949676,68.88903743315508,68.49299516908212
L2A_src,4,0,29.454468599033817,95.12137681159422,30.9651411557824,68.02808219178083,67.79239130434782
L2A_src,4,1,26.98387681159421,94.00942028985504,28.703375394078623,69.69209039548022,69.72753623188406
L2A_src,4,2,27.556823671497582,94.12065217391303,29.27819031744382,68.9550408719346,69.03719806763284
L2A_src,4,3,28.360144927536236,94.06050724637683,30.15095894948903,68.23093220338983,68.33768115942028
L2A_src,4,4,28.13079710144927,94.36521739130434,29.81055719375845,68.58800000000001,68.48876811594204
L2A_src,4,5,27.1088768115942,94.4126811594203,28.71317335625664,69.3173076923077,69.57934782608696
L2A_src,4,6,28.230072463768117,94.91032608695652,29.743942126912327,68.58356545961003,68.7072463768116
L2A_src,4,7,26.533816425120765,93.95169082125602,28.24197860962567,69.96606648199446,70.19190821256038
L2A_src,4,8,27.441304347826083,93.85869565217389,29.23682686740012,69.09121621621621,69.10833333333332
L2A_src,4,9,27.56636473429952,94.21322463768117,29.259549113526656,69.31283422459893,69.09528985507245
L2A_src,5,0,29.050120772946862,94.08369565217392,30.876891656493537,67.78904109589041,67.46183574879228
L2A_src,5,1,27.223731884057965,93.32463768115943,29.17100195670403,69.03107344632768,69.04130434782608
L2A_src,5,2,27.07693236714976,93.12693236714975,29.07529720876006,68.78201634877385,68.75833333333334
L2A_src,5,3,28.172826086956515,93.25760869565217,30.209680991176846,67.74081920903954,67.86304347826086
L2A_src,5,4,27.791908212560383,93.6789855072464,29.667174619873077,68.618,68.47125603864734
L2A_src,5,5,26.946557971014496,93.58442028985507,28.793850394706787,69.21428571428572,69.42065217391304
L2A_src,5,6,28.19329710144928,94.02663043478262,29.98437460864271,68.36072423398328,68.44673913043479
L2A_src,5,7,26.222161835748786,92.61920289855072,28.311798217990386,69.36357340720221,69.56225845410628
L2A_src,5,8,27.143115942028988,92.94999999999999,29.201846091478206,68.76283783783784,68.7981884057971
L2A_src,5,9,27.0332729468599,92.76002415458939,29.14323620895953,69.13235294117646,68.8076690821256
L2A_src,6,0,30.347584541062812,94.65712560386473,32.060538863250414,66.83150684931508,66.60108695652175
L2A_src,6,1,28.4463768115942,94.29528985507248,30.16733588211561,68.38135593220339,68.39021739130436
L2A_src,6,2,28.62306763285023,93.71352657004832,30.54315495368245,67.96866485013624,67.93152173913045
L2A_src,6,3,29.604891304347824,94.01358695652175,31.490013584992916,66.92443502824858,66.99927536231884
L2A_src,6,4,29.167874396135268,94.53333333333333,30.85459209746326,67.71266666666666,67.62608695652175
L2A_src,6,5,28.05471014492754,94.13695652173915,29.802015256833624,68.33104395604396,68.51159420289855
