run_seed,config,missing_features,mask,miou
0,base,3,1|5|6,65.969802
0,drop,3,1|5|6,64.575978
0,impute,3,1|5|6,83.669445
0,base,3,1|5|7,62.373217
0,drop,3,1|5|7,62.280921
0,impute,3,1|5|7,81.081613
0,base,3,1|5|8,71.252233
0,drop,3,1|5|8,62.403995
0,impute,3,1|5|8,83.518214
0,base,3,1|5|9,62.587611
0,drop,3,1|5|9,62.342446
0,impute,3,1|5|9,82.435531
0,base,3,1|5|10,62.989663
0,drop,3,1|5|10,62.391354
0,impute,3,1|5|10,84.136474
0,base,3,1|5|11,47.304642
0,drop,3,1|5|11,61.390319
0,impute,3,1|5|11,84.329924
0,base,3,1|6|7,71.295507
0,drop,3,1|6|7,64.204522
0,impute,3,1|6|7,83.075049
0,base,3,1|6|8,72.378017
0,drop,3,1|6|8,88.206965
0,impute,3,1|6|8,85.512522
0,base,3,1|6|9,81.578553
0,drop,3,1|6|9,67.909176
0,impute,3,1|6|9,85.128809
0,base,3,1|6|10,91.852920
0,drop,3,1|6|10,72.165594
0,impute,3,1|6|10,86.220518
0,base,3,1|6|11,66.707867
0,drop,3,1|6|11,62.358286
0,impute,3,1|6|11,86.326075
0,base,3,1|7|8,73.078326
0,drop,3,1|7|8,65.431494
0,impute,3,1|7|8,83.338037
0,base,3,1|7|9,64.948714
0,drop,3,1|7|9,62.261235
0,impute,3,1|7|9,82.259175
0,base,3,1|7|10,67.552073
0,drop,3,1|7|10,62.830987
0,impute,3,1|7|10,83.200310
0,base,3,1|7|11,46.050967
0,drop,3,1|7|11,39.335210
0,impute,3,1|7|11,82.450519
0,base,3,1|8|9,82.449633
0,drop,3,1|8|9,76.172028
0,impute,3,1|8|9,84.971213
0,base,3,1|8|10,89.376550
0,drop,3,1|8|10,92.653937
0,impute,3,1|8|10,86.178463
0,base,3,1|8|11,64.048452
0,drop,3,1|8|11,80.156101
0,impute,3,1|8|11,86.401668
0,base,3,1|9|10,61.722047
0,drop,3,1|9|10,67.968196
0,impute,3,1|9|10,85.476926
0,base,3,1|9|11,28.001523
0,drop,3,1|9|11,62.692789
0,impute,3,1|9|11,85.822951
0,base,3,1|10|11,32.171384
0,drop,3,1|10|11,66.212000
0,impute,3,1|10|11,86.949366
0,base,3,2|3|4,70.878514
0,drop,3,2|3|4,76.580673
0,impute,3,2|3|4,85.360694
0,base,3,2|3|5,62.342446
0,drop,3,2|3|5,62.156476
0,impute,3,2|3|5,81.264444
0,base,3,2|3|6,63.003152
0,drop,3,2|3|6,62.866407
0,impute,3,2|3|6,85.325246
0,base,3,2|3|7,62.249874
0,drop,3,2|3|7,62.544003
0,impute,3,2|3|7,82.523733
0,base,3,2|3|8,65.058202
0,drop,3,2|3|8,64.543141
0,impute,3,2|3|8,85.286584
0,base,3,2|3|9,57.110029
0,drop,3,2|3|9,63.100265
0,impute,3,2|3|9,84.368676
0,base,3,2|3|10,60.034111
0,drop,3,2|3|10,63.144538
0,impute,3,2|3|10,85.671080
0,base,3,2|3|11,33.144318
0,drop,3,2|3|11,62.081932
0,impute,3,2|3|11,85.957972
0,base,3,2|4|5,62.462420
0,drop,3,2|4|5,67.419631
0,impute,3,2|4|5,82.589081
0,base,3,2|4|6,67.948553
0,drop,3,2|4|6,74.906347
0,impute,3,2|4|6,85.132148
0,base,3,2|4|7,61.100205
0,drop,3,2|4|7,62.075259
0,impute,3,2|4|7,80.613376
0,base,3,2|4|8,68.918249
0,drop,3,2|4|8,76.048886
0,impute,3,2|4|8,84.475921
0,base,3,2|4|9,63.943955
0,drop,3,2|4|9,70.961930
0,impute,3,2|4|9,83.021518
0,base,3,2|4|10,63.217935
0,drop,3,2|4|10,73.809952
0,impute,3,2|4|10,85.247943
0,base,3,2|4|11,55.697049
0,drop,3,2|4|11,68.861544
0,impute,3,2|4|11,86.030282
0,base,3,2|5|6,62.342446
0,drop,3,2|5|6,62.311680
0,impute,3,2|5|6,81.731806
0,base,3,2|5|7,62.199999
0,drop,3,2|5|7,62.187799
0,impute,3,2|5|7,79.645888
0,base,3,2|5|8,62.434484
0,drop,3,2|5|8,62.311680
0,impute,3,2|5|8,81.442561
0,base,3,2|5|9,55.192900
0,drop,3,2|5|9,62.249580
0,impute,3,2|5|9,80.323976
0,base,3,2|5|10,61.023806
0,drop,3,2|5|10,62.311680
0,impute,3,2|5|10,82.556393
0,base,3,2|5|11,34.536850
0,drop,3,2|5|11,61.951819
0,impute,3,2|5|11,82.556830
0,base,3,2|6|7,62.280921
0,drop,3,2|6|7,62.280921
0,impute,3,2|6|7,82.333370
0,base,3,2|6|8,63.781525
0,drop,3,2|6|8,62.619612
0,impute,3,2|6|8,85.286584
0,base,3,2|6|9,62.667106
0,drop,3,2|6|9,62.483633
0,impute,3,2|6|9,84.375929
0,base,3,2|6|10,62.311386
0,drop,3,2|6|10,62.403995
0,impute,3,2|6|10,85.554522
0,base,3,2|6|11,49.961960
0,drop,3,2|6|11,62.125223
0,impute,3,2|6|11,86.526706
0,base,3,2|7|8,62.050667
0,drop,3,2|7|8,62.518298
0,impute,3,2|7|8,82.300933
0,base,3,2|7|9,55.533948
0,drop,3,2|7|9,62.087859
0,impute,3,2|7|9,80.661052
0,base,3,2|7|10,54.560471
0,drop,3,2|7|10,62.180314
0,impute,3,2|7|10,82.611540
0,base,3,2|7|11,32.679510
0,drop,3,2|7|11,45.493638
0,impute,3,2|7|11,81.955924
0,base,3,2|8|9,54.242347
0,drop,3,2|8|9,62.729665
0,impute,3,2|8|9,84.033870
0,base,3,2|8|10,59.547400
0,drop,3,2|8|10,65.955699
0,impute,3,2|8|10,85.554522
0,base,3,2|8|11,30.545212
0,drop,3,2|8|11,62.496071
0,impute,3,2|8|11,86.250616
0,base,3,2|9|10,38.826208
0,drop,3,2|9|10,62.483633
0,impute,3,2|9|10,84.716182
0,base,3,2|9|11,24.812125
0,drop,3,2|9|11,62.125454
0,impute,3,2|9|11,85.533520
0,base,3,2|10|11,25.001196
0,drop,3,2|10|11,62.342152
0,impute,3,2|10|11,86.872887
0,base,3,3|4|5,65.970079
0,drop,3,3|4|5,75.764954
0,impute,3,3|4|5,84.625413
0,base,3,3|4|6,89.032234
0,drop,3,3|4|6,73.102834
0,impute,3,3|4|6,86.214759
0,base,3,3|4|7,68.259079
0,drop,3,3|4|7,69.706794
0,impute,3,3|4|7,77.529156
0,base,3,3|4|8,82.204787
0,drop,3,3|4|8,70.429733
0,impute,3,3|4|8,85.901767
0,base,3,3|4|9,70.185710
0,drop,3,3|4|9,75.629564
0,impute,3,3|4|9,85.865783
0,base,3,3|4|10,83.295034
0,drop,3,3|4|10,76.799935
0,impute,3,3|4|10,86.217649
0,base,3,3|4|11,45.273564
0,drop,3,3|4|11,79.621567
0,impute,3,3|4|11,87.375937
0,base,3,3|5|6,62.588791
0,drop,3,3|5|6,72.537377
