arm,kernel,width,receptive_field,params,state,model_seed,split_seed,joint,coverage
k5,5,32,17,84516,clean,1,5,6.607756410256409,53.49961538461538
k5,5,32,17,84516,clean,1,6,7.787051282051277,58.330512820512816
k5,5,32,17,84516,clean,1,7,7.039487179487175,58.47371794871794
k5,5,32,17,84516,clean,1,8,7.684358974358975,58.60615384615385
k5,5,32,17,84516,clean,1,9,10.577051282051281,62.40141025641027
k5,5,32,17,84516,clean,2,0,7.952948717948718,65.05141025641025
k5,5,32,17,84516,clean,2,1,5.722692307692306,64.08166666666666
k5,5,32,17,84516,clean,2,2,5.895512820512819,65.2151282051282
k5,5,32,17,84516,clean,2,3,9.912179487179488,69.2228205128205
k5,5,32,17,84516,clean,2,4,8.699871794871795,66.89410256410255
k5,5,32,17,84516,clean,2,5,7.462628205128205,65.51820512820514
k5,5,32,17,84516,clean,2,6,7.471923076923074,68.00448717948717
k5,5,32,17,84516,clean,2,7,8.072692307692305,69.09051282051281
k5,5,32,17,84516,clean,2,8,7.990256410256409,68.52217948717951
k5,5,32,17,84516,clean,2,9,11.567179487179487,69.72371794871795
k5,5,32,17,84516,clean,3,0,11.522435897435896,68.88499999999998
k5,5,32,17,84516,clean,3,1,6.057435897435898,62.55448717948716
k5,5,32,17,84516,clean,3,2,7.4870512820512785,66.74307692307688
k5,5,32,17,84516,clean,3,3,9.331923076923076,66.85961538461537
