state,cls,model_seed,split_seed,support,iou,f1,pa,ua,joint,selective,coverage
L2A,cloud shadow,5,1,13959,0.731809311402286,1.4529855393343944,0.7522028798624544,21.25506072874494,94.02535998280679,99.95430660269591,94.06834300451322
clean,clear,5,2,75419,75.81881533101046,86.24653190646056,92.32686723504688,80.91757405319977,1.7435924634375952,2.0861757146936575,83.57840862382159
clean,thick cloud,5,2,42136,71.41203460105655,83.32207801775475,80.52496677425479,86.32050270944107,7.31678374786406,9.590916161144811,76.28868426048984
clean,thin cloud,5,2,16262,34.28760081120596,51.06592210164015,44.705448284343866,59.53648349848497,24.677161480752673,53.67125852614685,45.97835444594761
clean,cloud shadow,5,2,12983,36.21979639396541,53.17846209256258,45.49025648925518,63.99393217033265,28.568127551413387,50.6417258328782,56.41223137949627
L2A,clear,5,2,75419,62.39463617568032,76.84322295987793,98.83583712327132,62.85658872239415,0.2943555337514419,0.3016509273727835,97.58151129025843
L2A,thick cloud,5,2,42136,57.86183610147837,73.30693412723647,60.19081070818303,93.73198314731319,32.893487753939624,37.786259541984734,87.051452439719
L2A,thin cloud,5,2,16262,0.03062411955656275,0.0612294881214793,0.030746525642602385,7.142857142857142,94.34263928176117,100.0,94.34263928176117
L2A,cloud shadow,5,2,12983,1.5522344957042813,3.0570169202331865,1.656011707617654,19.8522622345337,92.79827466687206,99.24217462932454,93.50689363013171
clean,clear,5,3,72756,76.30029827227193,86.55719703257276,93.1730716367035,80.81856982760677,1.3359722909450766,1.5866538254354319,84.20061575677607
clean,thick cloud,5,3,39907,70.54378961138552,82.72806623112122,78.37472122685243,87.59346906768981,7.352093617661063,10.040380535213195,73.22524870323502
clean,thin cloud,5,3,13204,34.09424853064652,50.85117207372911,49.20478642835505,52.61154749372419,22.26598000605877,54.70785262374396,40.69978794304756
clean,cloud shadow,5,3,15733,40.97241494144419,58.12827276664435,46.92048560350855,76.37078419201325,27.299307188711623,46.98096696565303,58.107163287357785
L2A,clear,5,3,72756,61.74164048330651,76.34600502234787,99.66188355599537,61.8712402406246,0.14156908021331574,0.1435820229731237,98.59805376876135
L2A,thick cloud,5,3,39907,54.542379433652265,70.58566023576498,56.566517152379284,93.84327582623155,36.91332347708422,42.009353789996005,87.8692961134638
L2A,thin cloud,5,3,13204,0.05286210542214167,0.10566835232847761,0.053014238109663735,15.555555555555555,92.29021508633747,100.0,92.29021508633747
L2A,cloud shadow,5,3,15733,0.35667354984043553,0.7108118219229331,0.36229581135193545,18.688524590163937,94.8452297718172,99.96650365110203,94.87701010614632
clean,clear,5,4,76693,76.86945230847826,86.92224836475452,94.17417495729727,80.70734160241368,1.6142281564158398,1.882202694073646,85.76271628440666
clean,thick cloud,5,4,44566,71.01452190353595,83.05086739194356,79.2240721626352,87.26612125855804,7.958982183727505,10.38653001464129,76.62792263160256
clean,thin cloud,5,4,13564,27.55944247062039,43.2103526588679,37.171925685638456,51.59111838739384,26.157475670893543,62.169265813912745,42.07460925980537
clean,cloud shadow,5,4,15177,39.60184271141823,56.73541543901002,47.57857284048231,70.25685931115004,27.152928773802465,46.56497175141243,58.31191935165052
L2A,clear,5,4,76693,62.145523450143536,76.65401070323354,99.63881970975187,62.285835384640464,0.19688889468399987,0.1985170382835507,99.17984692214414
