seed,method,state,IoU_clear,IoU_thick,IoU_thin,IoU_shadow,miou,audc,support_clear,support_thick,support_thin,support_shadow
3,b1,dropB1B9B10,39.336814267308604,37.878640303886236,7.0779899829379715,10.259288037065815,23.63818314779966,27.343394638112876,151794,86281,26563,27862
3,b1,L2A_real,52.28715987685851,2.346840217091344,0.0,0.28131899437362007,13.72882977208087,27.343394638112876,151794,86281,26563,27862
3,b2,clean,76.76051401239195,71.63789412121022,33.06701315934977,36.41131983410588,54.46918528176445,44.61041223046677,151794,86281,26563,27862
3,b2,dropB10,74.70591893208412,70.11052134817777,14.602148493202776,34.31748933577087,48.434019527308884,44.61041223046677,151794,86281,26563,27862
3,b2,dropB1B9B10,72.65662894098625,68.6689178972834,12.429665893123946,29.587763834339174,45.835744141433196,44.61041223046677,151794,86281,26563,27862
3,b2,L2A_real,59.54709679966832,41.216315049226445,0.0,1.5626102292768957,25.58150551954292,44.61041223046677,151794,86281,26563,27862
3,b3,clean,77.5993246859293,72.63500594284534,33.62598770851624,38.90016664141797,55.690121244677215,27.32431225447766,151794,86281,26563,27862
3,b3,dropB10,56.73003455970531,48.69356011861467,5.034805982493625,0.4549008458312602,27.728325376661218,27.32431225447766,151794,86281,26563,27862
3,b3,dropB1B9B10,54.55554768147781,38.30262041017497,0.4433870444468476,0.07875143184421535,23.345076641985962,27.32431225447766,151794,86281,26563,27862
3,b3,L2A_real,55.80389248890495,24.628126737076155,0.01491869312248247,0.03935599284436494,20.12157347798699,27.32431225447766,151794,86281,26563,27862
3,b4,clean,77.67841845504236,72.65600049450379,33.71283997469956,38.28497980168931,55.58305968148376,48.49178283162714,151794,86281,26563,27862
3,b4,dropB10,76.94868494653437,71.1767601156662,24.617478900081675,36.66980410612389,52.35318201710154,48.49178283162714,151794,86281,26563,27862
3,b4,dropB1B9B10,74.76277623213548,69.11057569077767,19.730549558658762,35.53032319110559,49.783556168169376,48.49178283162714,151794,86281,26563,27862
3,b4,L2A_real,63.73005081228082,56.51088199061075,0.44183715144989416,0.21473819834651586,30.224377038172,48.49178283162714,151794,86281,26563,27862
3,b6,clean,77.70852132838696,72.436673809302,32.689709972189114,40.318264632202236,55.788292435520084,32.48706310066791,151794,86281,26563,27862
3,b6,dropB10,72.23191663462582,68.03069832600728,2.1501948281969536,25.746257279629237,42.03976676711483,32.48706310066791,151794,86281,26563,27862
3,b6,dropB1B9B10,63.427684632448845,55.429773685729444,1.3493941855946872,16.36928831378892,34.14403520439047,32.48706310066791,151794,86281,26563,27862
3,b6,L2A_real,59.39567632593851,42.419679291913326,0.03748969033515783,0.9267646853877778,25.69490249839369,32.48706310066791,151794,86281,26563,27862
3,proposed,clean,78.20026951954017,73.33374519918863,33.49513224302932,37.726283048211506,55.6888575024924,48.025257170764725,151794,86281,26563,27862
3,proposed,dropB10,76.86873204826288,71.56444435392714,23.618967215421417,35.04533560518469,51.77436980569904,48.025257170764725,151794,86281,26563,27862
3,proposed,dropB1B9B10,74.55189607663037,69.63486692591283,18.35495283018868,33.76168929110106,49.07585128095824,48.025257170764725,151794,86281,26563,27862
3,proposed,L2A_real,61.267702739970474,48.606124722856855,0.1309047387515428,0.6310149116931646,27.65893677831801,48.025257170764725,151794,86281,26563,27862
4,b1,clean,77.69635176039509,72.73993969013206,33.27160325716931,39.41084713222942,55.779685459981465,27.944925511752256,151794,86281,26563,27862
