split_seed,model_seed,method,arm,acc_bright,aurc_bright,auroc_bright,temperature,crc_threshold,crc_group_joint_risk,crc_group_coverage,crc_group_selective_risk,crc_feasible,n_calib_units,n_dark_units,n_bright_units,n_eval_units,n_eval_px
8,2,b2,mondrian,74.4643,9.31688,81.0977,1.38819,0.769819,3.80577,48.5288,7.84228,1,12,152,33,13,28000
9,0,proposed,naive,76.4615,9.18985,78.5653,1.20994,0.63123,11.5462,75.55,15.2828,1,91,152,33,13,26000
9,0,proposed,mondrian,76.4615,9.18985,78.5653,1.40153,0.824679,3.05,44.35,6.87711,1,12,152,33,13,26000
9,0,b2,naive,76.2615,8.62731,80.5502,1.1092,0.637942,9.13077,70.6269,12.9282,1,91,152,33,13,26000
9,0,b2,mondrian,76.2615,8.62731,80.5502,1.37451,0.821819,1.51154,35.9462,4.20501,1,12,152,33,13,26000
9,1,proposed,naive,75.5808,9.23348,79.4518,1.1703,0.630281,12.3423,76.1615,16.2054,1,91,152,33,13,26000
9,1,proposed,mondrian,75.5808,9.23348,79.4518,1.31735,0.857283,1.99231,40.1423,4.96311,1,12,152,33,13,26000
9,1,b2,naive,75.7269,9.84516,77.8158,1.13531,0.636073,11.4731,74.7615,15.3462,1,91,152,33,13,26000
9,1,b2,mondrian,75.7269,9.84516,77.8158,1.58877,0.843569,2.62308,37.2923,7.03383,1,12,152,33,13,26000
9,2,proposed,naive,74.7962,10.0453,78.8748,1.23104,0.638159,11.7808,74.0154,15.9166,1,91,152,33,13,26000
9,2,proposed,mondrian,74.7962,10.0453,78.8748,1.32795,0.864139,2.53462,38.7692,6.5377,1,12,152,33,13,26000
9,2,b2,naive,74.4577,9.91495,79.4769,1.10084,0.622466,10.1846,70.0731,14.5343,1,91,152,33,13,26000
9,2,b2,mondrian,74.4577,9.91495,79.4769,1.25523,0.83606,2.93462,41.3308,7.10032,1,12,152,33,13,26000
