arm,seed,split,joint
calib_bright,4,4,12.5762077294686
calib_bright,4,5,12.83369565217391
calib_bright,4,6,13.330253623188405
calib_bright,4,7,11.410084541062801
calib_bright,4,8,10.634057971014492
calib_bright,4,9,11.608756038647341
calib_bright,5,0,11.632971014492753
calib_bright,5,1,11.589855072463767
calib_bright,5,2,14.081823671497585
calib_bright,5,3,12.025724637681158
calib_bright,5,4,13.750120772946861
calib_bright,5,5,14.4625
calib_bright,5,6,12.948188405797104
calib_bright,5,7,11.580978260869564
calib_bright,5,8,11.244927536231886
calib_bright,5,9,11.843297101449275
calib_bright,6,0,12.168357487922703
calib_bright,6,1,11.5713768115942
calib_bright,6,2,12.33375603864734
calib_bright,6,3,11.751811594202897
calib_bright,6,4,13.209661835748795
calib_bright,6,5,12.799275362318841
calib_bright,6,6,12.886231884057969
calib_bright,6,7,11.881582125603863
calib_bright,6,8,11.294565217391304
calib_bright,6,9,11.591606280193236
calib_bright,7,0,11.840700483091785
calib_bright,7,1,10.89873188405797
calib_bright,7,2,13.007850241545896
calib_bright,7,3,12.443478260869565
calib_bright,7,4,13.71594202898551
calib_bright,7,5,13.270833333333334
calib_bright,7,6,13.667934782608699
calib_bright,7,7,11.57536231884058
calib_bright,7,8,10.792753623188407
calib_bright,7,9,12.481219806763287
calib_bright,8,0,12.15217391304348
calib_bright,8,1,11.629710144927536
calib_bright,8,2,12.890036231884055
calib_bright,8,3,11.626086956521739
calib_bright,8,4,13.288768115942032
calib_bright,8,5,13.662862318840583
calib_bright,8,6,12.777898550724636
calib_bright,8,7,12.315760869565215
calib_bright,8,8,11.487318840579709
calib_bright,8,9,12.017330917874396
calib_bright,9,0,12.135024154589372
calib_bright,9,1,12.420108695652177
calib_bright,9,2,13.30966183574879
calib_bright,9,3,12.817391304347828
calib_bright,9,4,14.456400966183573
calib_bright,9,5,13.822826086956521
calib_bright,9,6,12.99764492753623
calib_bright,9,7,12.623369565217393
calib_bright,9,8,12.264855072463767
calib_bright,9,9,11.952173913043477
calib_dark,0,0,17.102415458937198
calib_dark,0,1,13.184782608695652
calib_dark,0,2,15.994444444444442
calib_dark,0,3,12.982065217391305
calib_dark,0,4,13.954106280193237
calib_dark,0,5,10.904166666666667
calib_dark,0,6,14.874094202898549
calib_dark,0,7,13.226570048309174
calib_dark,0,8,13.621376811594201
calib_dark,0,9,16.156763285024155
calib_dark,1,0,16.553019323671496
calib_dark,1,1,12.2625
calib_dark,1,2,14.954347826086956
calib_dark,1,3,12.611413043478258
calib_dark,1,4,12.948792270531403
calib_dark,1,5,10.45163043478261
calib_dark,1,6,13.520652173913044
calib_dark,1,7,12.409057971014487
calib_dark,1,8,14.084057971014497
calib_dark,1,9,14.485386473429951
calib_dark,2,0,16.369082125603867
calib_dark,2,1,12.007065217391304
calib_dark,2,2,14.11062801932367
calib_dark,2,3,13.05144927536232
calib_dark,2,4,13.343478260869567
calib_dark,2,5,10.859057971014494
calib_dark,2,6,13.788224637681159
calib_dark,2,7,13.241787439613528
calib_dark,2,8,12.13768115942029
calib_dark,2,9,13.63852657004831
calib_dark,3,0,19.434541062801934
calib_dark,3,1,13.99565217391304
calib_dark,3,2,16.303200483091786
calib_dark,3,3,14.876086956521739
calib_dark,3,4,14.490700483091784
calib_dark,3,5,11.693659420289853
calib_dark,3,6,16.294384057971012
calib_dark,3,7,13.78550724637681
calib_dark,3,8,15.515579710144928
calib_dark,3,9,16.68049516908213
calib_dark,4,0,18.307850241545896
calib_dark,4,1,12.977536231884057
calib_dark,4,2,15.665096618357484
calib_dark,4,3,13.096376811594206
calib_dark,4,4,13.364251207729469
calib_dark,4,5,11.83949275362319
calib_dark,4,6,14.070471014492753
calib_dark,4,7,13.42916666666667
calib_dark,4,8,13.134420289855072
calib_dark,4,9,15.697524154589376
calib_dark,5,0,16.337318840579712
calib_dark,5,1,13.218115942028986
calib_dark,5,2,15.308574879227052
calib_dark,5,3,13.981340579710144
calib_dark,5,4,15.179589371980676
calib_dark,5,5,11.64836956521739
calib_dark,5,6,14.21757246376812
calib_dark,5,7,13.576932367149757
calib_dark,5,8,13.273913043478258
calib_dark,5,9,13.342814009661838
calib_dark,6,0,18.833937198067634
calib_dark,6,1,15.455072463768115
calib_dark,6,2,17.95984299516908
calib_dark,6,3,14.50416666666667
calib_dark,6,4,15.054710144927535
calib_dark,6,5,12.064311594202898
calib_dark,6,6,16.277717391304346
calib_dark,6,7,14.329227053140098
calib_dark,6,8,14.615579710144925
calib_dark,6,9,19.2578502415459
calib_dark,7,0,17.128502415458936
calib_dark,7,1,13.858333333333334
calib_dark,7,2,16.333876811594205
calib_dark,7,3,13.919746376811599
calib_dark,7,4,13.847826086956522
calib_dark,7,5,11.09981884057971
