split_seed,model_seed,method,arm,acc_bright,aurc_bright,auroc_bright,temperature,crc_threshold,crc_group_joint_risk,crc_group_coverage,crc_group_selective_risk,crc_feasible,n_calib_units,n_source_units,n_target_units,n_eval_units,n_eval_px
0,3,b2,naive,75.8962,9.81215,78.1368,1.15404,0.614345,11.8077,75.7269,15.5925,1,91,152,33,13,26000
0,3,b2,mondrian,75.8962,9.81215,78.1368,1.19342,0.900918,2.25769,35.2346,6.4076,1,12,152,33,13,26000
0,4,proposed,naive,75.6192,10.2833,77.4078,1.17874,0.646405,11.0308,72.9885,15.113,1,91,152,33,13,26000
0,4,proposed,mondrian,75.6192,10.2833,77.4078,1.249,0.873187,3.03077,39.4808,7.67657,1,12,152,33,13,26000
0,4,b2,naive,76.4154,9.11997,78.4802,1.13885,0.619641,11.6269,74.75,15.5544,1,91,152,33,13,26000
0,4,b2,mondrian,76.4154,9.11997,78.4802,1.10354,0.918028,1.66538,35.9423,4.63349,1,12,152,33,13,26000
0,5,proposed,naive,77.4808,7.80861,80.9467,1.22024,0.656382,9.27308,72.3885,12.8102,1,91,152,33,13,26000
0,5,proposed,mondrian,77.4808,7.80861,80.9467,1.26944,0.894709,0.876923,35.1577,2.49426,1,12,152,33,13,26000
0,5,b2,naive,74.0846,10.4388,78.1212,1.10089,0.617731,12.8192,73.6308,17.4102,1,91,152,33,13,26000
0,5,b2,mondrian,74.0846,10.4388,78.1212,1.10026,0.900515,1.63846,34.8654,4.69939,1,12,152,33,13,26000
0,6,proposed,naive,75.3154,9.74787,78.6198,1.10893,0.646035,11.6538,73.9308,15.7632,1,91,152,33,13,26000
0,6,proposed,mondrian,75.3154,9.74787,78.6198,1.34004,0.879891,1.59231,32.2423,4.93857,1,12,152,33,13,26000
0,6,b2,naive,74.4577,10.3599,77.9297,1.07239,0.630731,12.5692,74.1,16.9625,1,91,152,33,13,26000
0,6,b2,mondrian,74.4577,10.3599,77.9297,1.13202,0.904355,1.86923,34.6885,5.38862,1,12,152,33,13,26000
0,7,proposed,naive,77.2577,7.80675,81.6074,1.20579,0.640147,9.96923,74.8846,13.3128,1,91,152,33,13,26000
0,7,proposed,mondrian,77.2577,7.80675,81.6074,1.39766,0.864633,1.44615,39.2,3.68917,1,12,152,33,13,26000
0,7,b2,naive,74.4462,10.0523,78.5219,1.1493,0.623292,12.6115,74.2577,16.9835,1,91,152,33,13,26000
0,7,b2,mondrian,74.4462,10.0523,78.5219,1.1573,0.903686,1.51923,34.6462,4.38499,1,12,152,33,13,26000
0,8,proposed,naive,78.4923,8.11583,79.6451,1.22939,0.639695,9.66154,75.45,12.8052,1,91,152,33,13,26000
0,8,proposed,mondrian,78.4923,8.11583,79.6451,1.33479,0.904799,1.43846,34.4692,4.17318,1,12,152,33,13,26000
