arm,seed,split,joint
ren_weighted,5,2,0.0
ren_weighted,5,3,0.0
ren_weighted,5,4,0.0
ren_weighted,5,5,0.0
ren_weighted,5,6,0.0
ren_weighted,5,7,0.0
ren_weighted,5,8,0.0
ren_weighted,5,9,0.0
ren_weighted,6,0,0.0
ren_weighted,6,1,0.0
ren_weighted,6,2,0.0
ren_weighted,6,3,0.0
ren_weighted,6,4,0.0
ren_weighted,6,5,0.0
ren_weighted,6,6,0.0
ren_weighted,6,7,0.0
ren_weighted,6,8,0.0
ren_weighted,6,9,0.0
ren_weighted,7,0,0.0
ren_weighted,7,1,0.0
ren_weighted,7,2,0.0
ren_weighted,7,3,0.0
ren_weighted,7,4,0.0
ren_weighted,7,5,0.0
ren_weighted,7,6,0.0
ren_weighted,7,7,0.0
ren_weighted,7,8,0.0
ren_weighted,7,9,0.0
ren_weighted,8,0,0.0
ren_weighted,8,1,0.0
ren_weighted,8,2,0.0
ren_weighted,8,3,0.0
ren_weighted,8,4,0.0
ren_weighted,8,5,0.0
ren_weighted,8,6,0.0
ren_weighted,8,7,0.0
ren_weighted,8,8,0.0
ren_weighted,8,9,0.0
ren_weighted,9,0,0.0
ren_weighted,9,1,0.0
ren_weighted,9,2,0.0
ren_weighted,9,3,0.0
ren_weighted,9,4,0.0
ren_weighted,9,5,0.0
ren_weighted,9,6,0.0
ren_weighted,9,7,0.0
ren_weighted,9,8,0.0
ren_weighted,9,9,0.0
