seed,method,missing_groups,metric,value
0,b2,1,aurc,8.83709
0,b2,2,aurc,10.6301
0,b2,3,aurc,12.1617
0,b2,4,aurc,16.2328
0,b2,5,aurc,24.8789
0,b2,6,aurc,41.1316
0,b2,0,augrc,5.77056
0,b2,1,augrc,6.35608
0,b2,2,augrc,7.48231
0,b2,3,augrc,8.48344
0,b2,4,augrc,10.8488
0,b2,5,augrc,15.6321
0,b2,6,augrc,23.7762
0,b2,0,auroc,82.7839
0,b2,1,auroc,82.0246
0,b2,2,auroc,80.3291
0,b2,3,auroc,79.2286
0,b2,4,auroc,76.5257
0,b2,5,auroc,71.85
0,b2,6,auroc,64.7579
0,b2,0,plugin_coverage,82.0709
0,b2,1,plugin_coverage,73.406
0,b2,2,plugin_coverage,66.2003
0,b2,3,plugin_coverage,57.6852
0,b2,4,plugin_coverage,42.6624
0,b2,5,plugin_coverage,19.7297
0,b2,6,plugin_coverage,0
0,b2,0,plugin_cond_risk,15.1869
0,b2,1,plugin_cond_risk,13.3429
0,b2,2,plugin_cond_risk,13.6411
0,b2,3,plugin_cond_risk,13.1408
0,b2,4,plugin_cond_risk,13.5965
0,b2,5,plugin_cond_risk,12.6044
0,b2,6,plugin_cond_risk,nan
0,b2,0,crc_calib_bound,9.93866
0,b2,1,crc_calib_bound,9.95896
0,b2,2,crc_calib_bound,9.98434
0,b2,3,crc_calib_bound,9.93988
0,b2,4,crc_calib_bound,9.85822
0,b2,5,crc_calib_bound,9.90608
0,b2,6,crc_calib_bound,9.92742
0,b2,0,crc_eval_joint_risk,12.1034
0,b2,1,crc_eval_joint_risk,10.9531
0,b2,2,crc_eval_joint_risk,11.1679
0,b2,3,crc_eval_joint_risk,10.7898
0,b2,4,crc_eval_joint_risk,10.741
0,b2,5,crc_eval_joint_risk,10.8467
0,b2,6,crc_eval_joint_risk,9.52592
0,b2,0,crc_coverage,80.4976
0,b2,1,crc_coverage,75.2488
0,b2,2,crc_coverage,70.6422
0,b2,3,crc_coverage,65.4854
0,b2,4,crc_coverage,57.6207
0,b2,5,crc_coverage,46.7129
0,b2,6,crc_coverage,27.2265
0,b2,0,crc_sel_risk,15.0357
0,b2,1,crc_sel_risk,14.5558
0,b2,2,crc_sel_risk,15.8092
0,b2,3,crc_sel_risk,16.4767
0,b2,4,crc_sel_risk,18.6408
0,b2,5,crc_sel_risk,23.2198
0,b2,6,crc_sel_risk,34.9877
0,b2,0,crc_feasible,1
0,b2,1,crc_feasible,1
0,b2,2,crc_feasible,1
0,b2,3,crc_feasible,1
0,b2,4,crc_feasible,1
0,b2,5,crc_feasible,1
0,b2,6,crc_feasible,1
0,b2,0,crc_units,26
0,b2,1,crc_units,26
0,b2,2,crc_units,26
0,b2,3,crc_units,26
0,b2,4,crc_units,26
0,b2,5,crc_units,26
0,b2,6,crc_units,26
0,b2,0,crc_positive_coverage,1
0,b2,1,crc_positive_coverage,1
0,b2,2,crc_positive_coverage,1
0,b2,3,crc_positive_coverage,1
0,b2,4,crc_positive_coverage,1
0,b2,5,crc_positive_coverage,1
0,b2,6,crc_positive_coverage,1
0,b2,0,crcmask_calib_bound,nan
0,b2,1,crcmask_calib_bound,9.99563
0,b2,2,crcmask_calib_bound,9.9031
0,b2,3,crcmask_calib_bound,9.87483
0,b2,4,crcmask_calib_bound,9.86969
0,b2,5,crcmask_calib_bound,9.90053
0,b2,6,crcmask_calib_bound,9.98278
0,b2,0,crcmask_eval_joint_risk,nan
0,b2,1,crcmask_eval_joint_risk,12.2603
0,b2,2,crcmask_eval_joint_risk,11.724
0,b2,3,crcmask_eval_joint_risk,11.8259
0,b2,4,crcmask_eval_joint_risk,10.6933
0,b2,5,crcmask_eval_joint_risk,13.8423
0,b2,6,crcmask_eval_joint_risk,8.48814
0,b2,0,crcmask_coverage,nan
0,b2,1,crcmask_coverage,79.9796
0,b2,2,crcmask_coverage,74.0832
0,b2,3,crcmask_coverage,68.4414
0,b2,4,crcmask_coverage,59.6387
0,b2,5,crcmask_coverage,52.1453
0,b2,6,crcmask_coverage,26.1326
0,b2,0,crcmask_sel_risk,nan
0,b2,1,crcmask_sel_risk,15.3293
0,b2,2,crcmask_sel_risk,15.8254
0,b2,3,crcmask_sel_risk,17.2788
0,b2,4,crcmask_sel_risk,17.9302
0,b2,5,crcmask_sel_risk,26.5456
0,b2,6,crcmask_sel_risk,32.4811
0,b2,0,crcmask_feasible,nan
0,b2,1,crcmask_feasible,1
0,b2,2,crcmask_feasible,1
0,b2,3,crcmask_feasible,1
0,b2,4,crcmask_feasible,1
0,b2,5,crcmask_feasible,1
0,b2,6,crcmask_feasible,1
0,b2,0,crcmask_units,nan
0,b2,1,crcmask_units,32
0,b2,2,crcmask_units,32
0,b2,3,crcmask_units,32
0,b2,4,crcmask_units,32
0,b2,5,crcmask_units,32
0,b2,6,crcmask_units,32
0,b2,0,crcmask_alpha_floor,nan
0,b2,1,crcmask_alpha_floor,3.0303
0,b2,2,crcmask_alpha_floor,3.0303
0,b2,3,crcmask_alpha_floor,3.0303
0,b2,4,crcmask_alpha_floor,3.0303
0,b2,5,crcmask_alpha_floor,3.0303
0,b2,6,crcmask_alpha_floor,3.0303
0,b2,0,crcmask_positive_coverage,nan
0,b2,1,crcmask_positive_coverage,1
