seed,split,state,arm,joint,cov
7,7,L2A,mondrian,8.935897435897438,51.0
7,8,clean,naive,7.294871794871795,75.48452380952381
7,8,L2A,naive,29.386538461538457,95.26190476190476
7,8,L2A,mondrian,11.23076923076923,59.18928571428571
7,9,clean,naive,9.286538461538461,77.42375
7,9,L2A,naive,30.198717948717945,95.42875
7,9,L2A,mondrian,8.458333333333334,49.26625
8,0,clean,naive,7.2243589743589745,73.8051282051282
8,0,L2A,naive,31.583333333333343,93.67435897435897
8,0,L2A,mondrian,8.49102564102564,40.37820512820513
8,1,clean,naive,9.300641025641028,74.555
8,1,L2A,naive,32.733333333333334,89.53999999999999
8,1,L2A,mondrian,6.7846153846153845,33.81625
8,2,clean,naive,9.847435897435897,79.52179487179487
8,2,L2A,naive,32.71410256410257,93.5102564102564
8,2,L2A,mondrian,5.833333333333333,30.5525641025641
8,3,clean,naive,8.149999999999997,72.12682926829268
8,3,L2A,naive,33.79551282051282,91.35121951219513
8,3,L2A,mondrian,8.262820512820515,37.864634146341466
8,4,clean,naive,5.2987179487179485,71.95125
8,4,L2A,naive,30.11666666666666,89.5975
8,4,L2A,mondrian,6.066025641025641,33.85125
8,5,clean,naive,8.764102564102563,71.47435897435898
8,5,L2A,naive,32.87435897435898,91.38205128205128
8,5,L2A,mondrian,6.48846153846154,35.3
8,6,clean,naive,5.459615384615384,70.11375
8,6,L2A,naive,29.65,89.905
8,6,L2A,mondrian,7.51153846153846,42.964999999999996
8,7,clean,naive,9.640384615384615,76.16585365853659
